Episode,Step,Return,Algorithm
0,1000,-2400.0,qlearning
1,484,-583.0,qlearning
2,401,-500.0,qlearning
3,165,-164.0,qlearning
4,262,-261.0,qlearning
5,300,-399.0,qlearning
6,91,-90.0,qlearning
7,245,-244.0,qlearning
8,168,-167.0,qlearning
9,97,-96.0,qlearning
10,220,-219.0,qlearning
11,212,-311.0,qlearning
12,127,-126.0,qlearning
13,114,-113.0,qlearning
14,242,-241.0,qlearning
15,64,-63.0,qlearning
16,266,-265.0,qlearning
17,66,-65.0,qlearning
18,228,-227.0,qlearning
19,80,-79.0,qlearning
20,137,-136.0,qlearning
21,88,-87.0,qlearning
22,138,-137.0,qlearning
23,136,-135.0,qlearning
24,144,-243.0,qlearning
25,111,-110.0,qlearning
26,50,-49.0,qlearning
27,211,-210.0,qlearning
28,129,-128.0,qlearning
29,109,-108.0,qlearning
30,41,-40.0,qlearning
31,206,-205.0,qlearning
32,135,-234.0,qlearning
33,78,-77.0,qlearning
34,79,-78.0,qlearning
35,157,-156.0,qlearning
36,68,-67.0,qlearning
37,123,-122.0,qlearning
38,95,-94.0,qlearning
39,85,-84.0,qlearning
40,93,-92.0,qlearning
41,67,-66.0,qlearning
42,162,-161.0,qlearning
43,61,-60.0,qlearning
44,108,-107.0,qlearning
45,115,-114.0,qlearning
46,70,-69.0,qlearning
47,69,-68.0,qlearning
48,97,-96.0,qlearning
49,117,-116.0,qlearning
0,1000,-2200.0,sarsa
1,676,-875.0,sarsa
2,225,-224.0,sarsa
3,472,-571.0,sarsa
4,142,-141.0,sarsa
5,175,-174.0,sarsa
6,245,-244.0,sarsa
7,108,-107.0,sarsa
8,150,-149.0,sarsa
9,186,-185.0,sarsa
10,189,-188.0,sarsa
11,204,-303.0,sarsa
12,97,-96.0,sarsa
13,176,-175.0,sarsa
14,140,-139.0,sarsa
15,119,-118.0,sarsa
16,164,-163.0,sarsa
17,207,-206.0,sarsa
18,139,-138.0,sarsa
19,73,-172.0,sarsa
20,78,-77.0,sarsa
21,258,-257.0,sarsa
22,91,-90.0,sarsa
23,100,-99.0,sarsa
24,157,-156.0,sarsa
25,139,-138.0,sarsa
26,75,-74.0,sarsa
27,69,-68.0,sarsa
28,139,-138.0,sarsa
29,117,-116.0,sarsa
30,142,-141.0,sarsa
31,110,-109.0,sarsa
32,54,-53.0,sarsa
33,112,-111.0,sarsa
34,138,-137.0,sarsa
35,101,-100.0,sarsa
36,127,-126.0,sarsa
37,173,-172.0,sarsa
38,67,-66.0,sarsa
39,89,-88.0,sarsa
40,51,-50.0,sarsa
41,120,-119.0,sarsa
42,62,-61.0,sarsa
43,125,-124.0,sarsa
44,111,-110.0,sarsa
45,50,-49.0,sarsa
46,70,-69.0,sarsa
47,69,-68.0,sarsa
48,112,-111.0,sarsa
49,162,-261.0,sarsa
