Episode,Step,Return,Algorithm
0,50,-50.0,PPO
1,50,-50.0,PPO
2,50,-50.0,PPO
3,50,-50.0,PPO
4,50,-50.0,PPO
5,50,-50.0,PPO
6,50,-50.0,PPO
7,50,-50.0,PPO
8,50,-50.0,PPO
9,50,-50.0,PPO
10,36,-36.0,PPO
11,50,-50.0,PPO
12,25,-25.0,PPO
13,50,-50.0,PPO
14,50,-50.0,PPO
15,50,-50.0,PPO
16,50,-50.0,PPO
17,25,-25.0,PPO
18,50,-50.0,PPO
19,50,-50.0,PPO
20,50,-50.0,PPO
21,24,-24.0,PPO
22,50,-50.0,PPO
23,50,-50.0,PPO
24,50,-50.0,PPO
25,29,-29.0,PPO
26,29,-29.0,PPO
27,50,-50.0,PPO
28,38,-38.0,PPO
29,50,-50.0,PPO
30,50,-50.0,PPO
31,50,-50.0,PPO
32,50,-50.0,PPO
33,50,-50.0,PPO
34,21,-21.0,PPO
35,50,-50.0,PPO
36,50,-50.0,PPO
37,26,-26.0,PPO
38,50,-50.0,PPO
39,50,-50.0,PPO
40,50,-50.0,PPO
41,50,-50.0,PPO
42,25,-25.0,PPO
43,50,-50.0,PPO
44,50,-50.0,PPO
45,44,-44.0,PPO
46,50,-50.0,PPO
47,23,-23.0,PPO
48,50,-50.0,PPO
49,31,-31.0,PPO
50,16,-16.0,PPO
51,38,-38.0,PPO
52,37,-37.0,PPO
53,45,-45.0,PPO
54,18,-18.0,PPO
55,43,-43.0,PPO
56,50,-50.0,PPO
57,50,-50.0,PPO
58,50,-50.0,PPO
59,44,-44.0,PPO
60,50,-50.0,PPO
61,50,-50.0,PPO
62,50,-50.0,PPO
63,50,-50.0,PPO
64,50,-50.0,PPO
65,49,-49.0,PPO
66,9,-9.0,PPO
67,48,-48.0,PPO
68,50,-50.0,PPO
69,45,-45.0,PPO
70,45,-45.0,PPO
71,41,-41.0,PPO
72,50,-50.0,PPO
73,19,-19.0,PPO
74,50,-50.0,PPO
75,50,-50.0,PPO
76,39,-39.0,PPO
77,42,-42.0,PPO
78,50,-50.0,PPO
79,50,-50.0,PPO
80,50,-50.0,PPO
81,24,-24.0,PPO
82,31,-31.0,PPO
83,33,-33.0,PPO
84,27,-27.0,PPO
85,33,-33.0,PPO
86,50,-50.0,PPO
87,28,-28.0,PPO
88,50,-50.0,PPO
89,9,-9.0,PPO
90,18,-18.0,PPO
91,39,-39.0,PPO
92,50,-50.0,PPO
93,50,-50.0,PPO
94,28,-28.0,PPO
95,32,-32.0,PPO
96,15,-15.0,PPO
97,10,-10.0,PPO
98,50,-50.0,PPO
99,21,-21.0,PPO
100,20,-20.0,PPO
101,27,-27.0,PPO
102,26,-26.0,PPO
103,19,-19.0,PPO
104,26,-26.0,PPO
105,14,-14.0,PPO
106,45,-45.0,PPO
107,12,-12.0,PPO
108,19,-19.0,PPO
109,29,-29.0,PPO
110,15,-15.0,PPO
111,18,-18.0,PPO
112,23,-23.0,PPO
113,26,-26.0,PPO
114,23,-23.0,PPO
115,26,-26.0,PPO
116,26,-26.0,PPO
117,50,-50.0,PPO
118,31,-31.0,PPO
119,19,-19.0,PPO
120,20,-20.0,PPO
121,37,-37.0,PPO
122,21,-21.0,PPO
123,39,-39.0,PPO
124,31,-31.0,PPO
125,16,-16.0,PPO
126,20,-20.0,PPO
127,25,-25.0,PPO
128,18,-18.0,PPO
129,50,-50.0,PPO
130,10,-10.0,PPO
131,23,-23.0,PPO
132,13,-13.0,PPO
133,25,-25.0,PPO
134,12,-12.0,PPO
135,26,-26.0,PPO
136,31,-31.0,PPO
137,50,-50.0,PPO
138,29,-29.0,PPO
139,17,-17.0,PPO
140,42,-42.0,PPO
141,41,-41.0,PPO
142,18,-18.0,PPO
143,17,-17.0,PPO
144,50,-50.0,PPO
145,10,-10.0,PPO
146,11,-11.0,PPO
147,50,-50.0,PPO
148,26,-26.0,PPO
149,31,-31.0,PPO
150,32,-32.0,PPO
151,50,-50.0,PPO
152,50,-50.0,PPO
153,25,-25.0,PPO
154,46,-46.0,PPO
155,22,-22.0,PPO
156,11,-11.0,PPO
157,22,-22.0,PPO
158,10,-10.0,PPO
159,15,-15.0,PPO
160,24,-24.0,PPO
161,39,-39.0,PPO
162,46,-46.0,PPO
163,50,-50.0,PPO
164,17,-17.0,PPO
165,16,-16.0,PPO
166,50,-50.0,PPO
167,14,-14.0,PPO
168,50,-50.0,PPO
169,19,-19.0,PPO
170,39,-39.0,PPO
171,15,-15.0,PPO
172,21,-21.0,PPO
173,11,-11.0,PPO
174,39,-39.0,PPO
175,18,-18.0,PPO
176,12,-12.0,PPO
177,29,-29.0,PPO
178,14,-14.0,PPO
179,20,-20.0,PPO
180,50,-50.0,PPO
181,16,-16.0,PPO
182,14,-14.0,PPO
183,46,-46.0,PPO
184,16,-16.0,PPO
185,37,-37.0,PPO
186,48,-48.0,PPO
187,50,-50.0,PPO
188,35,-35.0,PPO
189,18,-18.0,PPO
190,12,-12.0,PPO
191,10,-10.0,PPO
192,9,-9.0,PPO
193,36,-36.0,PPO
194,17,-17.0,PPO
195,19,-19.0,PPO
196,33,-33.0,PPO
197,16,-16.0,PPO
198,24,-24.0,PPO
199,29,-29.0,PPO
200,50,-50.0,PPO
201,16,-16.0,PPO
202,46,-46.0,PPO
203,47,-47.0,PPO
204,21,-21.0,PPO
205,9,-9.0,PPO
206,34,-34.0,PPO
207,50,-50.0,PPO
208,17,-17.0,PPO
209,18,-18.0,PPO
210,19,-19.0,PPO
211,20,-20.0,PPO
212,18,-18.0,PPO
213,20,-20.0,PPO
214,26,-26.0,PPO
215,22,-22.0,PPO
216,20,-20.0,PPO
217,28,-28.0,PPO
218,13,-13.0,PPO
219,16,-16.0,PPO
220,21,-21.0,PPO
221,14,-14.0,PPO
222,36,-36.0,PPO
223,12,-12.0,PPO
224,13,-13.0,PPO
225,21,-21.0,PPO
226,10,-10.0,PPO
227,10,-10.0,PPO
228,12,-12.0,PPO
229,17,-17.0,PPO
230,15,-15.0,PPO
231,50,-50.0,PPO
232,25,-25.0,PPO
233,14,-14.0,PPO
234,15,-15.0,PPO
235,31,-31.0,PPO
236,18,-18.0,PPO
237,16,-16.0,PPO
238,17,-17.0,PPO
239,19,-19.0,PPO
240,10,-10.0,PPO
241,20,-20.0,PPO
242,50,-50.0,PPO
243,28,-28.0,PPO
244,21,-21.0,PPO
245,30,-30.0,PPO
246,23,-23.0,PPO
247,15,-15.0,PPO
248,10,-10.0,PPO
249,13,-13.0,PPO
250,20,-20.0,PPO
251,17,-17.0,PPO
252,26,-26.0,PPO
253,9,-9.0,PPO
254,23,-23.0,PPO
255,32,-32.0,PPO
256,15,-15.0,PPO
257,20,-20.0,PPO
258,17,-17.0,PPO
259,32,-32.0,PPO
260,35,-35.0,PPO
261,11,-11.0,PPO
262,21,-21.0,PPO
263,15,-15.0,PPO
264,27,-27.0,PPO
265,10,-10.0,PPO
266,14,-14.0,PPO
267,20,-20.0,PPO
268,16,-16.0,PPO
269,13,-13.0,PPO
270,32,-32.0,PPO
271,14,-14.0,PPO
272,31,-31.0,PPO
273,16,-16.0,PPO
274,16,-16.0,PPO
275,14,-14.0,PPO
276,20,-20.0,PPO
277,11,-11.0,PPO
278,16,-16.0,PPO
279,14,-14.0,PPO
280,14,-14.0,PPO
281,19,-19.0,PPO
282,36,-36.0,PPO
283,20,-20.0,PPO
284,18,-18.0,PPO
285,22,-22.0,PPO
286,33,-33.0,PPO
287,24,-24.0,PPO
288,10,-10.0,PPO
289,13,-13.0,PPO
290,16,-16.0,PPO
291,21,-21.0,PPO
292,16,-16.0,PPO
293,19,-19.0,PPO
294,26,-26.0,PPO
295,8,-8.0,PPO
296,13,-13.0,PPO
297,8,-8.0,PPO
298,9,-9.0,PPO
299,14,-14.0,PPO
300,12,-12.0,PPO
301,18,-18.0,PPO
302,22,-22.0,PPO
303,12,-12.0,PPO
304,29,-29.0,PPO
305,8,-8.0,PPO
